domA     domB     J_plm       known_interaction
PF11799  PF13438  0.36374     1
PF01053  PF04204  0.36325     0
PF00496  PF12911  0.3629      1
PF02684  PF03331  0.36268     0
PF00975  PF08242  0.3618      0
PF04471  PF13460  0.36174     0
PF01867  PF09707  0.36174     1
PF00596  PF11762  0.36147     1
PF00306  PF00430  0.36142     1
PF02542  PF08436  0.3614      0
PF02542  PF13288  0.3614      0
PF02614  PF08125  0.36115     0
PF02542  PF02670  0.36067     0
PF02652  PF11870  0.3603      0
PF01957  PF16200  0.35972     1
PF00213  PF00306  0.35967     1
PF01512  PF10588  0.3594      1
PF02401  PF02542  0.35934     0
PF03958  PF07963  0.3593      1
PF01844  PF04860  0.35894     0
PF02670  PF04551  0.35821     0
PF02080  PF02386  0.35775     0
PF04551  PF08436  0.35728     0
PF04551  PF13288  0.35728     0
PF03740  PF04166  0.35726     0
PF02581  PF08543  0.35717     0
PF08223  PF14535  0.35695     1
PF10396  PF13932  0.35692     1
PF01326  PF02896  0.35681     1
PF01967  PF03454  0.35583     0
PF03814  PF09604  0.3554      0
PF01564  PF03994  0.35531     0
PF02572  PF12557  0.35501     1
PF00034  PF03150  0.35477     1
PF02669  PF09604  0.35314     0
PF01077  PF01507  0.3531      1
PF00317  PF08343  0.35298     1
PF00310  PF14691  0.35263     1
PF04607  PF13328  0.35245     1
PF01402  PF02452  0.35241     0
PF01458  PF02657  0.35239     1
PF00697  PF04715  0.35236     1
PF13116  PF13502  0.35172     1
PF02446  PF11941  0.35172     0
PF02661  PF05598  0.35146     0
PF12631  PF13932  0.35127     1
PF00420  PF00507  0.35073     1
PF04257  PF13604  0.35066     1
PF06251  PF11102  0.35019     1
PF13518  PF13817  0.35017     0
PF06723  PF13464  0.34956     1
PF00268  PF07972  0.34911     1
PF00703  PF16353  0.34816     1
PF00263  PF07963  0.34796     1
PF01128  PF02401  0.34788     0
PF03239  PF04261  0.34752     0
PF00420  PF00499  0.34744     1
PF00080  PF04239  0.34718     0
PF00444  PF01809  0.34697     0
PF00725  PF02803  0.34664     1
PF03934  PF12693  0.34643     1
PF00419  PF13954  0.34611     1
PF06067  PF06769  0.34593     0
PF04216  PF09107  0.34514     0
PF01295  PF12633  0.34502     1
PF02625  PF03450  0.34477     1
PF01270  PF06564  0.34444     0
PF00145  PF02086  0.34415     0
PF08443  PF13343  0.34329     0
PF00507  PF01058  0.34328     1
PF00578  PF10417  0.34236     1
PF00078  PF01844  0.34234     0
PF02589  PF13183  0.3417      1
PF01571  PF01597  0.34123     1
PF02424  PF02508  0.3411      0
PF05137  PF06750  0.34093     0
PF07660  PF16220  0.34089     1
PF00766  PF02770  0.34075     0
PF01262  PF02233  0.3403      1
PF08502  PF10369  0.3397      0
PF00482  PF07963  0.33959     1
PF12794  PF12795  0.33958     1
PF00329  PF00361  0.33913     1
PF01081  PF04295  0.33904     0
PF00268  PF08343  0.33795     1
PF00115  PF00116  0.33791     1
PF00499  PF01058  0.33764     1
PF01906  PF02796  0.33764     0
PF03450  PF13478  0.33745     1
PF01081  PF02614  0.33712     0
PF13860  PF13861  0.33697     1
PF01071  PF02844  0.33667     1
PF00231  PF00430  0.33643     1
PF01012  PF02771  0.33566     0
PF05420  PF06564  0.33542     0
PF04612  PF05134  0.33523     1
PF00884  PF08019  0.33523     1
PF00593  PF03544  0.33516     1
PF01555  PF02086  0.33489     0
PF03116  PF04246  0.3346      0
PF00939  PF02028  0.33449     0
PF00596  PF02610  0.33422     1
PF00180  PF00330  0.33394     1
PF01339  PF01584  0.3337      1
PF01071  PF02843  0.33322     1
PF11892  PF14793  0.3324      1
PF04865  PF05876  0.33224     0
PF01967  PF02391  0.33209     1
PF00108  PF02737  0.33111     1
PF00490  PF01379  0.33053     0
PF03328  PF03737  0.33006     0
PF04060  PF13375  0.32976     1
PF01139  PF04493  0.32952     0
PF02110  PF08543  0.32871     1
PF13087  PF13476  0.3284      0
PF00441  PF01012  0.32836     0
PF03328  PF03802  0.32799     1
PF01636  PF13087  0.32751     0
PF02107  PF02119  0.32741     1
PF01642  PF01923  0.32722     0
PF03255  PF07977  0.32698     1
PF13378  PF16582  0.32685     1
PF04898  PF14691  0.32615     1
PF04408  PF11898  0.32613     1
PF01502  PF01503  0.32577     1
PF02391  PF03453  0.32539     0
PF00109  PF02801  0.32535     1
PF00782  PF01139  0.32531     0
PF00289  PF03255  0.32515     0
PF00180  PF00694  0.32499     1
PF00475  PF01503  0.32486     1
PF00665  PF13565  0.32484     1
PF02401  PF02670  0.32471     0
PF00288  PF08544  0.32462     1
PF01493  PF14691  0.32429     1
PF02872  PF13343  0.32427     0
PF02775  PF02776  0.32399     1
PF02401  PF08436  0.32395     0
PF02401  PF13288  0.32395     0
PF00146  PF00361  0.32364     1
PF00939  PF02447  0.32363     0
PF01119  PF05190  0.32358     1
PF01507  PF03460  0.32358     1
PF00034  PF07728  0.32357     0
PF00745  PF01488  0.32324     1
PF01906  PF02652  0.3228      0
PF00346  PF00361  0.32243     1
PF09375  PF13473  0.32218     1
PF00263  PF00437  0.3221      1
PF11939  PF14720  0.32206     1
PF01575  PF02515  0.32196     0
PF02350  PF03808  0.32186     1
PF01964  PF06968  0.32165     1
PF02737  PF02803  0.32163     1
PF04317  PF05128  0.3216      1
PF04965  PF05593  0.32085     0
PF02107  PF13144  0.32055     0
PF02785  PF03255  0.32042     0
PF01128  PF02670  0.3199      0
PF06445  PF10415  0.31964     0
PF08666  PF13483  0.31963     0
PF01128  PF13288  0.31961     0
PF01128  PF08436  0.31961     0
PF04014  PF05016  0.31914     0
PF02885  PF07831  0.31913     1
PF00015  PF01339  0.31881     1
PF01206  PF04143  0.31873     1
PF01118  PF02774  0.31862     1
PF08974  PF13569  0.31812     0
PF02302  PF03611  0.31801     1
PF01379  PF13241  0.31775     0
PF00742  PF14821  0.31741     1
PF01450  PF10369  0.31737     0
PF07991  PF10369  0.31721     0
PF01885  PF08719  0.31707     0
PF00158  PF02954  0.31691     1
PF01139  PF04389  0.316       0
